"q_id","game_id","answer","image_url"
"1","1","Побег из Шоушенка",
"2","1","Зеленая миля",
"3","1","Форрест Гамп",
"4","1","Список Шиндлера",
"5","1","1+1",
"8","1","Леон",
"9","1","Начало",
"10","1","Клаус",
"11","1","Бойцовский клуб",
"12","1","Властелин колец: Возвращение короля",
"13","1","Достучаться до небес",
"14","1","Криминальное чтиво",
"15","1","Жизнь прекрасна",
"16","1","Интерстеллар",
"17","1","Властелин колец: Братство кольца",
"18","1","Гладиатор",
"19","1","Карты, деньги, два ствола",
"20","1","Большой куш",
"21","1","Престиж",
"22","1","Поймай меня",
"23","1","Джентльмены",
"24","1","Темный рыцарь",
"25","1","Остров проклятых",
"26","1","Матрица",
"27","1","Отступники",
"28","1","Унесенные призраками",
"29","1","Запах женщины",
"30","1","Пробуждение",
"32","1","Титаник",
"33","1","Зеленая книга",
"34","1","Пираты Карибского моря: Проклятие Черной жемчужины",
"35","1","Твоё имя",
"36","1","Хатико: Самый верный друг",
"37","1","ВАЛЛ·И",
"38","1","Балто",
"39","1","Терминатор 2: Судный день",
"40","1","Американская история X",
"41","1","Семь",
"42","1","Зверополис",
"43","1","Форма голоса",
"45","1","День сурка",
"46","1","Бешеные псы",
"47","1","…А в душе я танцую",
"50","1","Стальной гигант",
"52","1","Спирит: Душа прерий",
"53","1","Пираты Карибского моря: Сундук мертвеца",
"55","1","Корпорация монстров",
"58","1","Одиннадцать друзей Оушена",
"60","1","Гонка",
"61","1","Пятый элемент",
"62","1","Спасти рядового Райана",
"63","1","Мальчик в полосатой пижаме",
"64","1","Назад в будущее 3",
"65","1","Невидимая сторона",
"67","1","Эффект бабочки",
"69","1","Шестое чувство",
"70","1","Прислуга",
"71","1","Принцесса Мононоке",
"72","1","Адвокат дьявола",
"73","1","Привидение",
"74","1","Капернаум",
"75","1","Три билборда на границе Эббинга",
"77","1","Гран Торино",
"78","1","Темный рыцарь: Возрождение легенды",
"79","1","Казино",
"81","1","Брат 2",
"82","1","Славные парни",
"83","1","Белый плен",
"84","1","Счастливое число Слевина",
"91","1","Жена путешественника во времени",
"93","1","Гнев человеческий",
"95","1","Особенности национальной охоты",
"96","1","Ходячий замок",
"97","1","Храброе сердце",
"99","1","Райя и последний дракон",
"100","1","Шоу Трумана",
"102","1","Игра",
"103","1","Изгой",
"104","1","Брат",
"105","1","Дневник памяти",
"107","1","В погоне за счастьем",
"108","1","Один дома",
"112","1","Нокдаун",
"113","1","Джанго освобожденный",
"114","1","Как приручить дракона",
"115","1","Ford против Ferrari",
"117","1","Семь жизней",
"119","1","Заплати другому",
"120","1","Олдбой",
"121","1","Малышка на миллион",
"122","1","Хоббит: Нежданное путешествие",
"123","1","Терминал",
"124","1","Жизнь других",
"126","1","Звёздные войны: Эпизод 3 – Месть ситхов",
"127","1","Последний самурай",
"128","1","Шерлок Холмс",
"129","1","Невероятный мир глазами Энцо",
"130","1","Военный ныряльщик",
"132","1","Дурак",
"133","1","Тренер Картер",
"134","1","Жизнь Дэвида Гейла",
"138","1","Загадочная история Бенджамина Баттона",
"140","1","Пока не сыграл в ящик",
"415","1","Апокалипсис",
"142","1","Человек-паук: Через вселенные",
"143","1","Паразиты",
"146","1","Чудо",
"148","1","Знакомьтесь, Джо Блэк",
"151","1","Троя",
"154","1","Головоломка",
"156","1","Вечное сияние чистого разума",
"157","1","Схватка",
"158","1","Воин",
"159","1","Город бога",
"160","1","Трасса 60",
"162","1","Хулиганы",
"163","1","Ледниковый период",
"168","1","Пираты Карибского моря: На краю света",
"169","1","Планета Ка-Пэкс",
"173","1","Иллюзионист",
"176","1","Законопослушный гражданин",
"177","1","Вверх",
"179","1","Дело храбрых",
"180","1","Амели",
"181","1","По соображениям совести",
"185","1","Искупление",
"186","1","Эдвард руки-ножницы",
"188","1","Король говорит!",
"189","1","Достать ножи",
"190","1","Гордость и предубеждение",
"197","1","Игра в имитацию",
"198","1","Мы купили зоопарк",
"201","1","Она",
"202","1","Помни меня",
"203","1","Типа крутые легавые",
"213","1","Грязь",
"221","1","Убойные каникулы",
"225","1","Однажды в… Голливуде",
"226","1","Монстры на каникулах",
"230","1","День независимости",
"233","1","Царство небесное",
"234","1","Капитан Фантастик",
"237","1","Человек-паук",
"239","1","Тор: Рагнарёк",
"243","1","Грань будущего",
"244","1","Семейка Крудс",
"248","1","Аватар",
"250","1","Чтец",
"251","1","Догвилль",
"252","1","Война",
"253","1","Скала",
"255","1","Собачья жизнь",
"256","1","Мстители: Война бесконечности",
"258","1","Лига справедливости Зака Снайдера",
"259","1","Подмена",
"262","1","1917",
"265","1","Город героев",
"266","1","Другие",
"268","1","Дитя погоды",
"271","1","Омерзительная восьмерка",
"274","1","Что гложет Гилберта Грейпа?",
"275","1","Гнев",
"279","1","Босиком по мостовой",
"282","1","История игрушек",
"283","1","Искусственный разум",
"284","1","В диких условиях",
"285","1","Кролик Джоджо",
"292","1","Железный человек",
"295","1","Разрисованная вуаль",
"297","1","Охота",
"299","1","Вселенная Стивена Хокинга",
"300","1","Такси",
"301","1","Господин Никто",
"304","1","Заложница",
"307","1","Матрица: Перезагрузка",
"315","1","Облачный атлас",
"317","1","Чёрный лебедь",
"318","1","Приключения Паддингтона 2",
"320","1","Люди Икс: Дни минувшего будущего",
"321","1","Отель Мумбаи: Противостояние",
"323","1","В поисках Немо",
"326","1","127 часов",
"330","1","Телефонная будка",
"340","1","Иллюзия обмана",
"341","1","Лекарь: Ученик Авиценны",
"351","1","Мальчишник в Вегасе",
"353","1","Мстители",
"360","1","Далласский клуб покупателей",
"363","1","Бойфренд из будущего",
"365","1","Хранители снов",
"368","1","Я – легенда",
"370","1","Похождения императора",
"371","1","Одержимость",
"373","1","Шерлок Холмс: Игра теней",
"374","1","Судья",
"380","1","День выборов",
"381","1","Джуманджи",
"390","1","Стрелок",
"391","1","Константин: Повелитель тьмы",
"393","1","Мемуары гейши",
"395","1","Рататуй",
"397","1","Области тьмы",
"398","1","Хоббит: Пустошь Смауга",
"399","1","Реквием по мечте",
"401","1","Люди в черном",
"403","1","Красота по-американски",
"404","1","Вторая жизнь Уве",
"407","1","Кокаин",
"408","1","Джокер",
"409","1","Лучшее предложение",
"410","1","Брестская крепость",
"421","1","Интервью с вампиром",
"422","1","Гаттака",
"427","1","Легенда №17",
"428","1","Работа без авторства",
"430","1","Исчезнувшая",
"432","1","Красотка",
"435","1","Гангстер",
"436","1","Святые из Бундока",
"438","1","Крупная рыба",
"441","1","Лило и Стич",
"444","1","Черная дыра",
"446","1","Мгла",
"451","1","Апгрейд",
"454","1","Однажды в Ирландии",
"455","1","Эдди «Орёл»",
"458","1","Гадкий я 2",
"460","1","Машинист",
"464","1","Идентификация",
"468","1","Нефть",
"471","1","Одарённая",
"474","1","Стражи Галактики",
"479","1","От заката до рассвета",
"482","1","Невидимый гость",
"488","1","Кунг-фу Панда",
"490","1","Три дня на побег",
"496","1","Парк Юрского периода",
